"fert","irr","rep","y"
"Control","High",1,63.22575068288
"Control","High",2,51.6118109716235
"Control","High",3,57.178770468024
"Control","High",4,58.7971756297662
"Control","High",5,57.425609938846
"Control","High",6,54.3632529034511
"Control","High",7,64.0691319846336
"Control","High",8,54.4320457695214
"Control","High",9,67.1105422832622
"Control","High",10,54.6237154056855
"Control","High",11,62.8292179253409
"Control","High",12,68.7198723562066
"Control","High",13,46.666835793326
"Control","High",14,53.3272673990958
"Control","High",15,54.2000719816381
"Control","High",16,58.8157023884204
"Control","High",17,53.2944824715036
"Control","High",18,39.0612674745713
"Control","High",19,40.3571984285469
"Control","High",20,62.9206800743812
"Control","Low",1,48.1601684355292
"Control","Low",2,39.31214939612
"Control","Low",3,48.9684958654423
"Control","Low",4,57.2880481950356
"Control","Low",5,61.3711607675898
"Control","Low",6,47.4171852103628
"Control","Low",7,48.4563837033864
"Control","Low",8,39.4210214888313
"Control","Low",9,52.7605841289876
"Control","Low",10,46.1600307442393
"Control","Low",11,52.7327007394473
"Control","Low",12,54.2290240233729
"Control","Low",13,56.2106211318195
"Control","Low",14,46.3464417475567
"Control","Low",15,53.0297307397878
"Control","Low",16,39.6979479255599
"Control","Low",17,45.293245949723
"Control","Low",18,44.8945544349409
"Control","Low",19,35.5147541003202
"Control","Low",20,50.2167356413535
"N","High",1,73.2359916012015
"N","High",2,69.833656208708
"N","High",3,76.5489794141971
"N","High",4,67.6397710375406
"N","High",5,63.7903137334842
"N","High",6,74.5969081553323
"N","High",7,67.13164094288
"N","High",8,80.6646075703275
"N","High",9,69.4113227843199
"N","High",10,75.9338873004132
"N","High",11,73.9315515912237
"N","High",12,67.2969663547178
"N","High",13,81.4543651187519
"N","High",14,75.8573958343039
"N","High",15,72.5385638795976
"N","High",16,73.6593044837488
"N","High",17,76.0757328963316
"N","High",18,72.5389973194745
"N","High",19,54.0414595010824
"N","High",20,73.709297721184
"N","Low",1,57.7965921435542
"N","Low",2,61.1113833891937
"N","Low",3,63.490942364193
"N","Low",4,68.3984209637561
"N","Low",5,55.6362476431532
"N","Low",6,67.8152557922649
"N","Low",7,62.0150887185124
"N","Low",8,66.2310365921857
"N","Low",9,65.5243714097439
"N","Low",10,64.3252689772012
"N","Low",11,53.7412863685929
"N","Low",12,59.4588816803358
"N","Low",13,63.7411089719973
"N","Low",14,54.2788598533659
"N","Low",15,56.7430271125569
"N","Low",16,63.4859789860901
"N","Low",17,64.6090724270075
"N","Low",18,62.782605531241
"N","Low",19,54.6853422155419
"N","Low",20,53.4013146081129
"N+P","High",1,79.0762420588296
"N+P","High",2,71.5475286251922
"N+P","High",3,70.5306413749575
"N+P","High",4,69.2746207747655
"N+P","High",5,62.8340266290368
"N+P","High",6,73.6719813882423
"N+P","High",7,68.6971609255209
"N+P","High",8,68.9034597620085
"N+P","High",9,75.600077971427
"N+P","High",10,74.9306386630495
"N+P","High",11,78.3526982556056
"N+P","High",12,67.142956461672
"N+P","High",13,73.9020913643578
"N+P","High",14,78.34666273834
"N+P","High",15,63.3352667233126
"N+P","High",16,64.8352444787329
"N+P","High",17,63.2095679148774
"N+P","High",18,61.2447160029856
"N+P","High",19,70.479895319447
"N+P","High",20,73.9192260378951
"N+P","Low",1,70.205792253591
"N+P","Low",2,69.2685065230064
"N+P","Low",3,56.9807481189609
"N+P","Low",4,74.0908914100365
"N+P","Low",5,58.9993595474531
"N+P","Low",6,63.6330828747364
"N+P","Low",7,60.4664647087869
"N+P","Low",8,62.2658989682702
"N+P","Low",9,64.129158207009
"N+P","Low",10,63.714965747982
"N+P","Low",11,62.8494446947956
"N+P","Low",12,63.6484363676522
"N+P","Low",13,60.08738858492
"N+P","Low",14,59.9746972158726
"N+P","Low",15,53.0334055205111
"N+P","Low",16,60.7059976387571
"N+P","Low",17,59.9240984527332
"N+P","Low",18,79.2113460020688
"N+P","Low",19,54.8273026128617
"N+P","Low",20,63.8235373113516
